,Line,Date,Shift,NoJig,Std Load,ItemCode,Description,Insp(B/H),OK(B/H),NG(B/H),Warna,Buram,Berbayang,Kotor,Tdk Terplating,Rontok/ Blister,Tipis/ EE No Plating,Flek Kuning,Terbakar,Watermark,Jig Mark/ Renggang,Lecet/ Scratch,Seret,Flek Hitam,Flek Tangan,Belang/ Dempet,Bintik,Kilap,Tebal,Flek Putih,Spark,Kotor H/ Oval,Terkikis/ Crack,Dimensi/ Penyok,MTL/ SLipMelintir,Kategori,Month,Cust_ID,Tot_NG,NG%
617,Rack 1,2024-07-08T00:00:00.000,2,1.24.6.26.5,540,IMN BRA L FR K3HA,Bracket L. Fr. 45110-K3HA-B000,1,0.763,0.237,0.10740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12962962962962962,0,0,0,0,0,,Jul,IMN,0.23703703703703705,23.703703703703706
630,Rack 1,2024-07-08T00:00:00.000,2,1.24.6.26.5,480,IMN LEV PAR D40L LH,Lever Parking D40L LH (52-42355-34510) BLACK,1,0.85,0.15,0.020833333333333332,0,0,0,0.016666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1125,0,0,0,0,0,,Jul,IMN,0.15,15
643,Rack 1,2024-07-08T00:00:00.000,1,1.14.09.15.19,480,YEID YOK 5D7,Yoke 5D7-8181J-11,0.4854,0.4354,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,YEID,0.05,10.300782859497321
644,Rack 1,2024-07-08T00:00:00.000,1,1.14.09.15.19,480,IPD FEM FRO DOO HIN 2,Female Front Door Hinge No. 2 (69341-52S00),0.525,0.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,IPD,0,0
645,Rack 1,2024-07-08T00:00:00.000,1,1.24.02.03.12,540,IMN BRA FR KWBA CR3+,Bracket Fr. 45210-KWBA-6004,1,0.9722,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777777777777776,0,0,0,0,0,,Jul,IMN,0.027777777777777776,2.7777777777777777
646,Rack 1,2024-07-08T00:00:00.000,1,1.24.16.21.23,540,IMN BRA FR KWBA CR3+,Bracket Fr. 45210-KWBA-6004,1,0.9778,0.0222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222222222223,0,0,0,0,0,,Jul,IMN,0.022222222222222223,2.2222222222222223
647,Rack 1,2024-07-08T00:00:00.000,1,1.14.03.07.14,480,YEID YOK 5D9,Yoke 5D9-H181J-01,0.7667,0.7542,0.0125,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,YEID,0.0125,1.63036389722186
648,Rack 1,2024-07-08T00:00:00.000,1,1.14.03.07.14,480,IPD FEM FRO DOO HIN 2,Female Front Door Hinge No. 2 (69341-52S00),0.2438,0.2438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,IPD,0,0
649,Rack 1,2024-07-08T00:00:00.000,1,1.24.05.06.26,576,IMN LEV PAR D74A LH,Lever Parking D74A LH (OC-41826-34510-00),0.9965,0.9896,0.0069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444444444444,0,0,0,0,0,0,0,0,0,0,0,,Jul,IMN,0.006944444444444444,0.696883536823326
650,Rack 1,2024-07-08T00:00:00.000,1,1.01.05.1.02.02.12,378,KW SPR SEA C HKF02,Spring Seat C. HKF02-394-0A-IN (Blue),0.9921,0.9894,0.0026,0,0,0,0,0.0026455026455026454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,KW,0.0026455026455026454,0.2666568536944507
651,Rack 1,2024-07-08T00:00:00.000,1,1.24.01.07.08,576,IMN LEV PAR D74A LH,Lever Parking D74A LH (OC-41826-34510-00),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,IMN,0,0
652,Rack 1,2024-07-08T00:00:00.000,1,1.24.14.10.22,540,IMN BRA FR KWBA CR3+,Bracket Fr. 45210-KWBA-6004,1,0.8907,0.1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10925925925925926,0,0,0,0,0,,Jul,IMN,0.10925925925925926,10.925925925925926
653,Rack 1,2024-07-08T00:00:00.000,1,1.01.03.04.08,378,KW SPR SEA C HKF02,Spring Seat C. HKF02-394-0A-IN (Blue),0.9974,0.9947,0.0026,0,0,0,0,0.0026455026455026454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,KW,0.0026455026455026454,0.2652398882597399
654,Rack 1,2024-07-08T00:00:00.000,1,1.14.09.15.19,480,CTA BOLT K2033,Bolt K2033-559-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,CTA,0,0
655,Rack 1,2024-07-08T00:00:00.000,1,1.24.02.07.12,480,IMN LEV PAR D40L RH,Lever Parking D40L RH (52-42355-44510) BLACK,1,0.9667,0.0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0,0,0,0,0,,Jul,IMN,0.03333333333333333,3.3333333333333335
657,Rack 1,2024-07-08T00:00:00.000,2,1.14.3.7.14,480,YEID YOK 5D9,Yoke 5D9-H181J-01,1,0.9688,0.0312,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,YEID,0.03125,3.125
658,Rack 1,2024-07-08T00:00:00.000,2,1.1.5.1.2.12.2,378,IPD MAL FRO DOO HIN,Male Front Door Hinge 69312-52S00,0.9921,0.9921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,IPD,0,0
659,Rack 1,2024-07-08T00:00:00.000,2,1.24.1.7.8,480,IMN LEV PAR D40L LH,Lever Parking D40L LH (52-42355-34510) BLACK,1,0.9812,0.0188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01875,0,0,0,0,0,,Jul,IMN,0.01875,1.875
660,Rack 1,2024-07-08T00:00:00.000,2,1.24.22.10.14,480,IMN LEV PAR D40L LH,Lever Parking D40L LH (52-42355-34510) BLACK,1,0.8938,0.1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10625,0,0,0,0,0,,Jul,IMN,0.10625,10.625
661,Rack 1,2024-07-08T00:00:00.000,2,1.14.12.6.14A,480,YEID YOK 5D9,Yoke 5D9-H181J-01,1,0.9562,0.0438,0,0,0,0.04375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,YEID,0.04375,4.375
662,Rack 1,2024-07-08T00:00:00.000,2,1.2.3.4.8,378,KW SPR SEA C HKF02,Spring Seat C. HKF02-394-0A-IN (Blue),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,KW,0,0
663,Rack 1,2024-07-08T00:00:00.000,2,1.18.2.12.14,864,SSY PED 2PBH,Pedal 2PHB 14K148,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,SSY,0,0
664,Rack 1,2024-07-08T00:00:00.000,2,1.14.9.15.5,480,YEID YOK 5D9,Yoke 5D9-H181J-01,1,0.9583,0.0417,0,0,0,0.041666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,YEID,0.041666666666666664,4.166666666666666
665,Rack 1,2024-07-08T00:00:00.000,2,1.24.2.3.12,540,IMN BRA L FR K3HA,Bracket L. Fr. 45110-K3HA-B000,1,0.9519,0.0481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04814814814814815,0,0,0,0,0,,Jul,IMN,0.04814814814814815,4.814814814814815
666,Rack 1,2024-07-08T00:00:00.000,2,1.24.16.21.23,540,IMN BRA L FR K3HA,Bracket L. Fr. 45110-K3HA-B000,1,0.8056,0.1944,0.09259259259259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10185185185185185,0,0,0,0,0,,Jul,IMN,0.19444444444444442,19.444444444444443
667,Rack 1,2024-07-08T00:00:00.000,2,1.14.3.7.14,480,YEID YOK 5D9,Yoke 5D9-H181J-01,1,0.9292,0.0708,0,0,0,0.07083333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,YEID,0.07083333333333333,7.083333333333333
668,Rack 1,2024-07-08T00:00:00.000,2,1.18.5.1.3,864,SSY PED 2PBH,Pedal 2PHB 14K148,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,SSY,0,0
669,Rack 1,2024-07-08T00:00:00.000,2,1.2.12.5.12,378,KW SPR SEA C HKF02,Spring Seat C. HKF02-394-0A-IN (Blue),0.9921,0.9921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,KW,0,0
670,Rack 1,2024-07-08T00:00:00.000,2,1.24.1.7.8,480,IMN LEV PAR D40L LH,Lever Parking D40L LH (52-42355-34510) BLACK,1,0.9083,0.0917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09166666666666666,0,0,0,0,0,,Jul,IMN,0.09166666666666666,9.166666666666666
671,Rack 1,2024-07-08T00:00:00.000,2,1.24.22.14.10,480,IMN LEV PAR D40L LH,Lever Parking D40L LH (52-42355-34510) BLACK,1,0.8208,0.1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17916666666666667,0,0,0,0,0,,Jul,IMN,0.17916666666666667,17.916666666666668
